index,engine-type,num-of-cylinders,horsepower,average-mileage,price
0,dohc,four,111,21,13495.0
1,dohc,four,111,21,16500.0
2,ohcv,six,154,19,16500.0
3,ohc,four,102,24,13950.0
4,ohc,five,115,18,17450.0
5,ohc,five,110,19,15250.0
6,ohc,five,110,19,18920.0
9,ohc,four,101,23,16430.0
10,ohc,four,101,23,16925.0
11,ohc,six,121,21,20970.0
13,ohc,six,182,16,30760.0
14,ohc,six,182,16,41315.0
15,ohc,six,182,15,36880.0
16,l,three,48,47,5151.0
17,ohc,four,70,38,6295.0
18,ohc,four,70,38,6575.0
19,ohc,four,68,31,6377.0
20,ohc,four,68,31,6229.0
27,ohc,four,76,30,7295.0
28,ohc,four,101,24,12945.0
29,ohc,four,100,25,10345.0
30,ohc,four,78,24,6785.0
31,ohc,four,70,38,
32,ohc,four,70,38,
33,dohc,six,176,15,32250.0
34,dohc,six,176,15,35550.0
35,ohcv,twelve,262,13,36000.0
36,ohc,four,68,30,5195.0
37,ohc,four,68,31,6095.0
38,ohc,four,68,31,6795.0
39,rotor,two,101,17,11845.0
43,ohc,four,72,31,18344.0
44,ohc,five,123,22,25552.0
45,ohc,five,123,22,28248.0
46,ohcv,eight,184,14,40960.0
47,ohcv,eight,184,14,45400.0
49,ohc,four,68,37,5389.0
50,ohc,four,68,31,6189.0
51,ohc,four,88,25,6989.0
52,ohc,four,88,25,8189.0
53,ohc,four,55,45,7099.0
54,ohc,four,69,31,6649.0
55,ohc,four,69,31,6849.0
56,ohc,four,69,31,7349.0
57,ohcv,six,152,19,13499.0
61,ohcf,six,207,17,34028.0
62,ohcf,six,207,17,37028.0
63,dohcv,eight,288,17,
66,ohc,four,62,35,5348.0
67,ohc,four,62,31,6338.0
68,ohc,four,62,31,6488.0
69,ohc,four,62,31,6918.0
70,ohc,four,62,27,7898.0
71,ohc,four,62,27,8778.0
79,dohc,six,156,19,15750.0
80,ohc,four,52,37,7775.0
81,ohc,four,85,27,7975.0
82,ohc,four,52,37,7995.0
86,ohc,four,100,26,9995.0
87,ohc,four,114,23,12940.0
88,ohc,four,114,23,13415.0
